Compañia,"Desc, compañia",Auxiliar,"Desc, auxiliar",Saldo inicial,Saldo final
3,FONDO DE INVERSION COLETIVA INTERES,111505033,"(FI) BCO SANTANDER Cta No, 100010895",25234190102,7822274736
3,FONDO DE INVERSION COLETIVA INTERES,111505034,"(FI) BCO OCCIDENTE Cta No, 219885878",202410976024,46731520142
3,FONDO DE INVERSION COLETIVA INTERES,111505036,"(FI) BANCO COOPCENTRA Cta No, 419009626",1646126264,485507002
3,FONDO DE INVERSION COLETIVA INTERES,111505037,"(FI) COLPATRIA Cta No,0132160767",10060172985,"94120032,76"
3,FONDO DE INVERSION COLETIVA INTERES,111505052,"(FI) BANCO POPULAR Cta No, 500805563532",18364482255,3548508386
3,FONDO DE INVERSION COLETIVA INTERES,111505053,"(FI) BANCOLOMBIA Cta No, 69000008134",109949385878,124754527024
3,FONDO DE INVERSION COLETIVA INTERES,111505054,"(FI) ITAU HELM BANK Cta No, 007075999",5653499389,10831739293
3,FONDO DE INVERSION COLETIVA INTERES,111505062,"(FI) BANCO BANCOLDEX Cta No,47074",0,0
3,FONDO DE INVERSION COLETIVA INTERES,111505070,"(FI) ITAU HELM BANK Cta No,007302011","11039342,29","11465741,68"
3,FONDO DE INVERSION COLETIVA INTERES,111505080,"(FI) POPULAR Cta No,066720632","15984307,56","16711301,98"
3,FONDO DE INVERSION COLETIVA INTERES,111505093,"(FI) OCCIDENTE Cta No,288073661","943145212,5","906345703,9"
3,FONDO DE INVERSION COLETIVA INTERES,111505094,"(FI) BANCOLOMBIA Cta No,17854124973",1040058250,1142869359
3,FONDO DE INVERSION COLETIVA INTERES,111505100,"(FI) GNB SUDAMERIS Cta No,90060000070","104125948,7",27242944730
3,FONDO DE INVERSION COLETIVA INTERES,111505118,"(FI) AGRARIO COL Cta No,08200102765",3701722632,3632173545
3,FONDO DE INVERSION COLETIVA INTERES,111505167,"(FI) COLPATRIA Cta No,0131072201","228973410,2","227502570,2"
3,FONDO DE INVERSION COLETIVA INTERES,111505177,"(FI) OCCIDENTE Cta No,288049240","918174172,3","918152662,3"
3,FONDO DE INVERSION COLETIVA INTERES,111505181,"(FI) CITIBANK Cta No,0060135096","23832309,27","23747138,27"
3,FONDO DE INVERSION COLETIVA INTERES,111505183,"(FI) BCO CAJA SOCIAL Cta No, 21003873196","163715256,2","294473508,4"
3,FONDO DE INVERSION COLETIVA INTERES,111505190,"(FI) BANCOLOMBIA Cta No,12606106520","113067489,8","112986744,5"
3,FONDO DE INVERSION COLETIVA INTERES,111505195,"(FI) DAVIVIENDA Cta No,005069999380",13173907601,10802878170
3,FONDO DE INVERSION COLETIVA INTERES,111505320,"(FI) BANCOLOMBIA Cta No,04882033479","325806872,3","92881700,06"
3,FONDO DE INVERSION COLETIVA INTERES,111505322,"(FI) DAVIVIENDA Cta No,005069992096",5565251226,7384716045
3,FONDO DE INVERSION COLETIVA INTERES,111505324,"(FI) AVVILLAS Cta No,059028852",1609904260,2550611640
3,FONDO DE INVERSION COLETIVA INTERES,111505325,"(FI) SUDAMERIS Cta No,100004951",36544566,11053516
3,FONDO DE INVERSION COLETIVA INTERES,111505326,"(FI) BANCOLOMBIA Cta No,03100026963",6949596097,1990472586
3,FONDO DE INVERSION COLETIVA INTERES,111505147,"(FI) AV VILLAS Cta No,065035214","61665687,12","60841302,72"
3,FONDO DE INVERSION COLETIVA INTERES,111505148,"(FI) JP MORGAN Cta, 2600000083",1200813911,7859707507
3,FONDO DE INVERSION COLETIVA INTERES,111505150,"(FI) CORPBANCA Cta No,051006755","6942809,45","7210955,08"
3,FONDO DE INVERSION COLETIVA INTERES,111505155,"(FI) BBVA COLOMBIA S,A, Cta No,401003090","13317200,39","12683635,39"
3,FONDO DE INVERSION COLETIVA INTERES,111505159,CUSTODIO BANCO REPUBLICA,0,0
3,FONDO DE INVERSION COLETIVA INTERES,111505160,"BCO REPUBLICA CTA NO,62250063",0,0
3,FONDO DE INVERSION COLETIVA INTERES,111505196,"(FI) DAVIVIENDA Cta No,005070366637",41226482425,37700907000
3,FONDO DE INVERSION COLETIVA INTERES,111505197,"(FI)BBVA Cta No,895000586",30522137635,23241524586
3,FONDO DE INVERSION COLETIVA INTERES,111505198,"(FI)BBVA Cta No,895000636","21016503,18","14612173,18"
3,FONDO DE INVERSION COLETIVA INTERES,111505202,"(FI) Colpatria Cta Cte No,4521024785","861693323,5","183717773,7"
3,FONDO DE INVERSION COLETIVA INTERES,111505203,"(FI) Colpatria Cta Cte No,4521024793","133020188,3","150318585,1"
3,FONDO DE INVERSION COLETIVA INTERES,111505204,"(FI) Bogotá Cta Cte No,049292014",1125261542,1051111562
3,FONDO DE INVERSION COLETIVA INTERES,111505210,"(FI) CAJA SOCIAL Cta No,24009362523","26124833,79","25936978,93"
3,FONDO DE INVERSION COLETIVA INTERES,111505216,"(FI) AGRARIO Cta Cte No, 308200006572","14064576,4","14064576,4"
3,FONDO DE INVERSION COLETIVA INTERES,111505323,"(FI) ITAU CORPBANCA Cta No,007463540","34085020,93","46249750,48"
3,FONDO DE INVERSION COLETIVA INTERES,111505622,"(FI) DAVIVIENDA Cta No, 005069994324","226617150,5","347933571,5"
3,FONDO DE INVERSION COLETIVA INTERES,111505631,"(FI) AGRARIO Cta No, 408203013514","717158,61","4445347,61"
3,FONDO DE INVERSION COLETIVA INTERES,111505846,"(FI) BOGOTA Cta No, 049265010","21358020,47","21358020,47"
3,FONDO DE INVERSION COLETIVA INTERES,111505847,"(FI) BANCO FALABELLA Cta No,156060093761","461338324,2","474870944,2"
3,FONDO DE INVERSION COLETIVA INTERES,111505848,"(FI) BANCOLOMBIA Cta No,03193322764","459072,02","396437,87"
3,FONDO DE INVERSION COLETIVA INTERES,111505885,"(FI) AGRARIO Cta No,308200007539",245056269,"171768950,9"
3,FONDO DE INVERSION COLETIVA INTERES,111505887,"(FI) BANCO W Cta No, AHO 900064598200002",999997384,999997384
3,FONDO DE INVERSION COLETIVA INTERES,111510001,(FI) Davivienda Panamá CTA:10001016616,0,"16979222,94"
3,FONDO DE INVERSION COLETIVA INTERES,111595010,"(FI) CORFICOLOMBIANA Cta No,2111618",1590664028,2146777770
3,FONDO DE INVERSION COLETIVA INTERES,130115115,OTROS EMISORES NACIONALES,2039855704100,1997426167677
3,FONDO DE INVERSION COLETIVA INTERES,130905105,TÍTULOS DE TESORERÍA -TES,0,0
3,FONDO DE INVERSION COLETIVA INTERES,135105010,DERECHO DE COMPRA SOBRE DIVISAS,0,0
3,FONDO DE INVERSION COLETIVA INTERES,135110010,DERECHO DE VENTA SOBRE DIVISAS,0,0
3,FONDO DE INVERSION COLETIVA INTERES,135135010,OBLIGACIÓN DE VENTA SOBRE DIVISAS,0,0
3,FONDO DE INVERSION COLETIVA INTERES,135305010,DERECHO DE MONEDAS,0,0
3,FONDO DE INVERSION COLETIVA INTERES,135305015,OBLIGACION MONEDAS,0,0
3,FONDO DE INVERSION COLETIVA INTERES,161695001,"(FI) GNB SUDAMERIS Cta No,06000061",0,0
3,FONDO DE INVERSION COLETIVA INTERES,161695010,GMF POR COBRAR,0,8280000
3,FONDO DE INVERSION COLETIVA INTERES,161695011,GASTOS CHEQUES DE GERENCIA,0,0
3,FONDO DE INVERSION COLETIVA INTERES,161695012,"(FI) OCCIDENTE Cau No,288810997","3629734,64","9377256,64"
3,FONDO DE INVERSION COLETIVA INTERES,111505327,"(FI) OCCIDENTE Cta No,288860729","311104850,9","200092601,9"
3,FONDO DE INVERSION COLETIVA INTERES,111505328,"(FI) BBVA Cta No, 895001808","185367883,4","185367883,4"
3,FONDO DE INVERSION COLETIVA INTERES,111505329,"(FI) POPULAR Cta No, 110066127499","596089912,9","440741526,8"
3,FONDO DE INVERSION COLETIVA INTERES,111505395,"(FI) REPUBLICA Cta No,62255468","9944130,8","9749430,78"
3,FONDO DE INVERSION COLETIVA INTERES,111505471,"(FI) POPULAR Cta No,066122755",9682400,0
3,FONDO DE INVERSION COLETIVA INTERES,111505617,"(FI) CITIBANK Cta No,5060135012","77386768,54","82051559,61"
3,FONDO DE INVERSION COLETIVA INTERES,111505621,"(FI) BANCOOMEVA Cta No,050301555601","3357497,98","1323566,97"
3,FONDO DE INVERSION COLETIVA INTERES,111505623,"(FI) BANCOLOMBIA Cta No, 03141946140","153059988,1","222470388,7"
3,FONDO DE INVERSION COLETIVA INTERES,111505624,"(FI) BANCOLOMBIA Cta No, 03147542506","487671,68","482816,1"
3,FONDO DE INVERSION COLETIVA INTERES,111505632,"(FI) CAJA SOCIAL cta No, 21003295006","65899768,53","65899768,53"
3,FONDO DE INVERSION COLETIVA INTERES,111505888,"(FI) BANCO W Cta No,AHO 900064598200001","555723974,3","581431746,9"
3,FONDO DE INVERSION COLETIVA INTERES,122005010,"COMP DE TRANSF DE INV EN OP, SIM",407325380115,700367353728
3,FONDO DE INVERSION COLETIVA INTERES,130105105,TÍTULOS DE TESORERÍA -TES,229441490149,322924752000
3,FONDO DE INVERSION COLETIVA INTERES,135130010,OBLIGACIÓN DE COMPRA SOBRE DIVISAS,0,0
3,FONDO DE INVERSION COLETIVA INTERES,160560001,DEPÓSITOS DE CONTRACCIÓN MONETARIA,0,"34981,21"
3,FONDO DE INVERSION COLETIVA INTERES,161695002,"(FI) Davivienda Panamá Cta, 10001016616",0,"74088,34"
3,FONDO DE INVERSION COLETIVA INTERES,161695004,"(LD) BCO DAVIVIENDA cta No,482800025215","186751,62","181681,49"
3,FONDO DE INVERSION COLETIVA INTERES,161695009,"(FI) BOGOTA Cau No,049216468","1564579,61","60966,82"
3,FONDO DE INVERSION COLETIVA INTERES,161695014,"(FI) CORFICOLOMBIANA Cta No,21110090","306884,85","306884,85"
3,FONDO DE INVERSION COLETIVA INTERES,161695017,"(FI) DAVIVIENDA Cau No,005000219997","1775505,84","378941,25"
3,FONDO DE INVERSION COLETIVA INTERES,161695026,"(FI) SERFINANZA Cta No, 212001051872","55942,54","31696194,45"
3,FONDO DE INVERSION COLETIVA INTERES,161695028,"(FI) BANCOLDEX Cta No, 0000046973","1819299,53","1179004,6"
3,FONDO DE INVERSION COLETIVA INTERES,161695029,"(FI) BCO FINANDINA Cta No, 9990023042","334681,61","327478,8"
3,FONDO DE INVERSION COLETIVA INTERES,161695031,"(FI) BCO DAVIVIENDA Cta No, 482800035982","54348005,26","19255236,36"
3,FONDO DE INVERSION COLETIVA INTERES,161695032,"(FI) BCO BOGOTA Cta No, 049335037","325469605,5","341781490,8"
3,FONDO DE INVERSION COLETIVA INTERES,161695034,"(FI) BCO SANTANDER Cta No, 100010895","24276379,21","25316431,94"
3,FONDO DE INVERSION COLETIVA INTERES,161695036,"(FI) BANCO COOPCENTRA Cta No, 419009626","15727409,15","10805449,54"
3,FONDO DE INVERSION COLETIVA INTERES,161695038,"(FI) COLPATRIA Cau No,0132160767","17080685,26","613732,24"
3,FONDO DE INVERSION COLETIVA INTERES,161695041,"(FI) BNP PARIBAS Cau No,500100018800173","125429,14","171376,1"
3,FONDO DE INVERSION COLETIVA INTERES,161695046,"(FI) BANCOOMEVA Cta No, 050302983001","29097532,8","11885100,39"
3,FONDO DE INVERSION COLETIVA INTERES,161695047,(FI) BNP PARIBAS Cta No 0500100018800367,"87,2","16179,69"
3,FONDO DE INVERSION COLETIVA INTERES,161695048,"(FI) BANCO AV VILLAS Cta No, 059040204","70630466,89","199640744,2"
3,FONDO DE INVERSION COLETIVA INTERES,161695049,"(FI) BCO SERFINANZA Cta No, 212001545415","12167052,44",25378549
3,FONDO DE INVERSION COLETIVA INTERES,161695052,"(FI) BANCO POPULAR Cta No, 500805563532","11340540,38","12205664,95"
3,FONDO DE INVERSION COLETIVA INTERES,161695015,GASTOS VARIOS DE ADMON,"23192008,25","30424120,21"
3,FONDO DE INVERSION COLETIVA INTERES,161695018,"(FI) IRIS FINANCIERA Cta No,100607692719","14535423,57","889163,53"
3,FONDO DE INVERSION COLETIVA INTERES,161695020,"(FI) BCO OCCIDENTE Cta No, 219885878","106091615,6","167467042,4"
3,FONDO DE INVERSION COLETIVA INTERES,161695022,"(FI) COOPCENTRAL Cta No, 419009424","1117409,13","1098779,26"
3,FONDO DE INVERSION COLETIVA INTERES,161695025,"(FI) IRIS FINANCIERA Cta No, 10017352055","101664765,9","139178858,3"
3,FONDO DE INVERSION COLETIVA INTERES,161695030,"(FI) BCO FINANDINA Cta No, 9990023051","66037120,94","67312176,67"
3,FONDO DE INVERSION COLETIVA INTERES,161695039,"(FI) BANCO W Cta No, 0000100064598200003","92697872,63","69516351,55"
3,FONDO DE INVERSION COLETIVA INTERES,161695040,"(FI) BCO CAJA SOCIAL Cta No,24132212302","30269848,77","18397708,65"
3,FONDO DE INVERSION COLETIVA INTERES,161695043,"(FI) BCO SANTANDER Cau No, 100000326","3995811,65","3993547,65"
3,FONDO DE INVERSION COLETIVA INTERES,161695044,"(FI) BCO SUDAMERIS Cta No, 91000023480","237871152,1","335069580,5"
3,FONDO DE INVERSION COLETIVA INTERES,161695045,CUENTA CORRIENTE,0,0
3,FONDO DE INVERSION COLETIVA INTERES,161695050,"(FI) BANCO ITAU Cta No, 007075634","104427,44","31199150,32"
3,FONDO DE INVERSION COLETIVA INTERES,161695058,"(FI) BCO FALABELLA Cta No,159920000166","1827945,54","1195720,8"
3,FONDO DE INVERSION COLETIVA INTERES,161695059,"(FI) BCO AGRARIO Cta No,408203020911","3047718,68","14814421,81"
3,FONDO DE INVERSION COLETIVA INTERES,161695060,"(FI) BANCO CITIBANK Cta No,5060135055","58789859,07","39267784,15"
3,FONDO DE INVERSION COLETIVA INTERES,161695071,"(FI) HELM BANK S A Cau No,007302011","4019,49","10446,81"
3,FONDO DE INVERSION COLETIVA INTERES,161695081,"(FI) POPULAR Cau No,066720632","3276847,57","3287811,51"
3,FONDO DE INVERSION COLETIVA INTERES,161695101,"(FI) GNB SUDAMERIS Cau No,90060000070","754838,87","8217165,36"
3,FONDO DE INVERSION COLETIVA INTERES,161695196,"(FI) DAVIVIENDA Cta Cau No,005070366637","16863591,2","9610810,63"
3,FONDO DE INVERSION COLETIVA INTERES,161695197,"(FI)BBVA Cta Cau No,895000586","1659614,74","631868,86"
3,FONDO DE INVERSION COLETIVA INTERES,161695200,CUENTA CONTROL TRANSFERENCIAS,0,0
3,FONDO DE INVERSION COLETIVA INTERES,161695209,"(FI) CAJA SOCIAL Cau No,24009362523","88231,45","104202,8"
3,FONDO DE INVERSION COLETIVA INTERES,161695618,"(FI) CITIBANK Cau No,5060135012","16020,95","3063823,53"
3,FONDO DE INVERSION COLETIVA INTERES,161695621,"(FI) BANCOOMEVA Cau No, 050301555601","77204,85","76119,25"
3,FONDO DE INVERSION COLETIVA INTERES,161695847,"(FI) FALABELLA Cau No, 156060093761","6642141,1","6840495,41"
3,FONDO DE INVERSION COLETIVA INTERES,161695887,"(FI) BANCO W  Cta Cau No,900064598200001","69068129,76","114943799,3"
3,FONDO DE INVERSION COLETIVA INTERES,161695888,"(FI) BANCO W  Cta Cau No,900064598200001","3850383,54","4684247,18"
3,FONDO DE INVERSION COLETIVA INTERES,161695999,Proveedores,0,0
3,FONDO DE INVERSION COLETIVA INTERES,161695999,Proveedores,0,0
3,FONDO DE INVERSION COLETIVA INTERES,192595001,CALIFICADORA DE VALORES,0,0
3,FONDO DE INVERSION COLETIVA INTERES,249005010,SOBREGIROS,0,0
3,FONDO DE INVERSION COLETIVA INTERES,250110010,COMISION CUSTODIA FIJA,0,0
3,FONDO DE INVERSION COLETIVA INTERES,250110033,COMISION CUSTODIO,"-35830294,18","-31412533,2"
3,FONDO DE INVERSION COLETIVA INTERES,250225018,REINTEGROS GASTOS CUENTA DE RECAUDO,0,0
3,FONDO DE INVERSION COLETIVA INTERES,250295034,MERCADO ELECTRONICO COLOMBIANO (MEC),0,0
3,FONDO DE INVERSION COLETIVA INTERES,250295038,COMISION SAE CUSTODIO,0,0
3,FONDO DE INVERSION COLETIVA INTERES,250295050,OTROS PROVEEDORES,0,0
3,FONDO DE INVERSION COLETIVA INTERES,250305020,RTE FTE PROVEEDORES,0,0
3,FONDO DE INVERSION COLETIVA INTERES,253105003,CUENTA CORRIENTE IBA,0,0
3,FONDO DE INVERSION COLETIVA INTERES,253105110,CUENTA COMPENSACION,-18640900283,-10618432238
3,FONDO DE INVERSION COLETIVA INTERES,253105220,CUENTA DE COMPENSACION DIVISAS,0,0
3,FONDO DE INVERSION COLETIVA INTERES,352510010,PARTICIPACIONES POR IDENTIFICAR,-22954331313,-24248896290
3,FONDO DE INVERSION COLETIVA INTERES,410595001,DEPÓSITOS DE CONTRACCIÓN MONETARIA,0,-1812921981
3,FONDO DE INVERSION COLETIVA INTERES,410705115,OTROS EMISORES NACIONALES,0,-31664792376
3,FONDO DE INVERSION COLETIVA INTERES,411405015,INGRESO POR OP REPO,0,"-803079521,4"
3,FONDO DE INVERSION COLETIVA INTERES,411495004,"(FI) PICHINCHA Cau No, 410216321",0,"-1090982,63"
3,FONDO DE INVERSION COLETIVA INTERES,411495009,"(FI) BOGOTA Cau No,049216468",0,"-8129973,21"
3,FONDO DE INVERSION COLETIVA INTERES,411495013,"(FI) Davivienda Panamá Cta, 10001016616",0,"-19605670,96"
3,FONDO DE INVERSION COLETIVA INTERES,411495017,"(FI) DAVIVIENDA Cau No,005000219997",0,"-157537374,5"
3,FONDO DE INVERSION COLETIVA INTERES,411495019,"(FI) IRIS FINANCIERA Cta No,100607692719",0,"-26444644,56"
3,FONDO DE INVERSION COLETIVA INTERES,411495025,"(FI) IRIS FINANCIERA Cta No, 10017352055",0,"-660810641,6"
3,FONDO DE INVERSION COLETIVA INTERES,411495026,"(FI) SERFINANZA Cta No, 212001051872",0,"-32020882,58"
3,FONDO DE INVERSION COLETIVA INTERES,411495028,"(FI) BANCOLDEX Cta No, 0000046973",0,"-74090825,98"
3,FONDO DE INVERSION COLETIVA INTERES,411495029,"(FI) BCO FINANDINA Cta No, 9990023042",0,"-14071,06"
3,FONDO DE INVERSION COLETIVA INTERES,411495030,"(FI) BCO FINANDINA Cta No, 9990023051",0,"-108896729,4"
3,FONDO DE INVERSION COLETIVA INTERES,411495034,"(FI) BCO SANTANDER Cta No, 100010895",0,"-773901702,6"
3,FONDO DE INVERSION COLETIVA INTERES,411495038,"(FI) COLPATRIA Cau No,0132160767",0,"-18094113,03"
3,FONDO DE INVERSION COLETIVA INTERES,411495039,"(FI) BANCO W Cta No, 0000100064598200003",0,"-626533133,2"
3,FONDO DE INVERSION COLETIVA INTERES,411495040,"(FI) BCO CAJA SOCIAL Cta No,24132212302",0,"-127945286,8"
3,FONDO DE INVERSION COLETIVA INTERES,411495043,(FI) BCO SANTANDER Cau 100000326,0,"-504653,42"
3,FONDO DE INVERSION COLETIVA INTERES,411495044,"(FI) BCO SUDAMERIS Cta No, 91000023480",0,-2740536254
3,FONDO DE INVERSION COLETIVA INTERES,411495046,"(FI) BANCOOMEVA Cta No, 050302983001",0,-1815864945
3,FONDO DE INVERSION COLETIVA INTERES,411495047,(FI) BNP PARIBAS Cta No 0500100018800367,0,"-22109,11"
3,FONDO DE INVERSION COLETIVA INTERES,411495048,"(FI) BANCO AV VILLAS Cta No, 059040204",0,-1277563254
3,FONDO DE INVERSION COLETIVA INTERES,411495049,"(FI) BCO SERFINANZA Cta No, 212001545415",0,"-199703597,1"
3,FONDO DE INVERSION COLETIVA INTERES,411495050,"(FI) BANCO ITAU Cta No, 007075634",0,"-329224429,5"
3,FONDO DE INVERSION COLETIVA INTERES,411495054,"(FI) ITAU HELM BANK Cta No, 007075999",0,"-512399625,9"
3,FONDO DE INVERSION COLETIVA INTERES,411495055,"(FI) BCO PICHINCHA Cta No,411285380",0,"-51445298,45"
3,FONDO DE INVERSION COLETIVA INTERES,161695053,"(FI) BANCOLOMBIA Cta No, 69000008134","30700562,86","19582481,66"
3,FONDO DE INVERSION COLETIVA INTERES,161695054,"(FI) ITAU HELM BANK Cta No, 007075999","2069718,94","2478965,6"
3,FONDO DE INVERSION COLETIVA INTERES,161695055,"(FI) BCO PICHINCHA Cta No,411285380",11111458,"9768450,64"
3,FONDO DE INVERSION COLETIVA INTERES,161695056,"(FI) AV VILLAS Cau No,065035206","-65873855,56","-65987224,27"
3,FONDO DE INVERSION COLETIVA INTERES,161695057,"(FI) BCO COLPATRIA Cta No,0072967709","86316252,23","123669713,7"
3,FONDO DE INVERSION COLETIVA INTERES,161695090,"(FI) JP MORGAN Cau No, 2600000083","536840,18","2111287,69"
3,FONDO DE INVERSION COLETIVA INTERES,161695151,"(FI) CORPBANCA Cau No,051006755","950274,29","954487,07"
3,FONDO DE INVERSION COLETIVA INTERES,161695153,"(FI) MULTIBANK Cau No,200230315804",90000,90000
3,FONDO DE INVERSION COLETIVA INTERES,161695321,"(FI) BANCOLOMBIA Cau No,04882033479","226325,8","105631,58"
3,FONDO DE INVERSION COLETIVA INTERES,161695382,"(FI) CORFICOLOMBIANA Cau No,2111618","2206427,74","4137859,5"
3,FONDO DE INVERSION COLETIVA INTERES,161695619,"(FI)BNP PARIBAS Cau No, 0500100018800270","23790,97","23790,97"
3,FONDO DE INVERSION COLETIVA INTERES,161695631,"(FI) AGRARIO Cau No, 408203013514","132483,86","132540,79"
3,FONDO DE INVERSION COLETIVA INTERES,161695883,"(FI) BANCO W  Cta Cau No, 6900490021","12595803,66","12595803,66"
3,FONDO DE INVERSION COLETIVA INTERES,161695884,"(FI) BANCO W  Cta Cau No, 6900490078",677384,677384
3,FONDO DE INVERSION COLETIVA INTERES,161795020,OTROS,0,10044000
3,FONDO DE INVERSION COLETIVA INTERES,162825010,EN GARANTIA,20585045058,30616045058
3,FONDO DE INVERSION COLETIVA INTERES,192595002,CUENTAS DE DEPOSITO (CUD),0,0
3,FONDO DE INVERSION COLETIVA INTERES,192595003,REVISORIA FISCAL,0,0
3,FONDO DE INVERSION COLETIVA INTERES,250105035,REVISORIA FISCAL,0,0
3,FONDO DE INVERSION COLETIVA INTERES,250105040,CALIFICADORA DE VALORES,0,"-1358089,79"
3,FONDO DE INVERSION COLETIVA INTERES,250110015,COMISION DE ADMINISTRACION,"-255064390,7","-133980702,1"
3,FONDO DE INVERSION COLETIVA INTERES,250295050,OTROS PROVEEDORES,0,0
